5.778, 4.204, 2.22, 92.3, 0.797, -5.771, 'Executing'
5.926, 4.226, 1.609, 92.3, 0.799, -6.041, 'Executing'
6.086, 4.229, 0.455, 92.3, 0.8, -4.996, 'Executing'
6.161, 4.257, 0.15, 92.3, 0.799, -4.464, 'Executing'
6.241, 4.257, -0.283, 92.3, 0.793, -3.998, 'Executing'
6.321, 4.256, -0.324, 92.3, 0.801, -1.515, 'Executing'
6.402, 4.281, 0.337, 92.3, 0.806, 1.32, 'Executing'
6.562, 4.283, 0.944, 92.3, 0.799, 4.992, 'Executing'
6.644, 4.292, 1.753, 92.3, 0.809, 7.434, 'Executing'
6.724, 4.295, 2.647, 92.3, 0.792, 10.277, 'Executing'
6.803, 4.3, 3.889, 92.3, 0.792, 14.867, 'Executing'
6.882, 4.307, 5.263, 92.3, 0.791, 16.265, 'Executing'
7.039, 4.326, 8.953, 92.4, 0.793, 20.508, 'Executing'
7.115, 4.341, 11.561, 92.4, 0.794, 20.836, 'Executing'
7.192, 4.356, 11.786, 92.4, 0.785, 23.353, 'Executing'
7.267, 4.373, 14.195, 92.4, 0.755, 25.224, 'Executing'
7.4, 4.425, 19.794, 92.4, 0.655, 26.551, 'Executing'
7.461, 4.449, 22.508, 92.4, 0.643, 27.55, 'Executing'
7.52, 4.475, 25.324, 92.4, 0.631, 28.615, 'Executing'
7.575, 4.519, 28.602, 92.4, 0.621, 29.475, 'Executing'
7.629, 4.55, 31.6, 92.4, 0.613, 30.201, 'Executing'
7.729, 4.619, 37.687, 92.4, 0.602, 30.305, 'Executing'
7.777, 4.651, 38.62, 92.4, 0.605, 30.447, 'Executing'
7.823, 4.69, 41.689, 92.4, 0.602, 30.477, 'Executing'
7.867, 4.731, 44.739, 92.4, 0.6, 30.212, 'Executing'
7.948, 4.82, 50.828, 92.4, 0.604, 30.463, 'Executing'
7.98, 4.877, 54.508, 92.4, 0.612, 30.241, 'Executing'
8.048, 4.983, 60.368, 92.4, 0.651, 28.558, 'Executing'
8.079, 5.041, 63.173, 92.4, 0.666, 27.517, 'Executing'
8.136, 5.187, 67.073, 92.4, 0.693, 24.152, 'Executing'
8.161, 5.252, 69.489, 92.4, 0.697, 24.122, 'Executing'
8.176, 5.322, 72.587, 92.4, 0.698, 23.35, 'Executing'
8.212, 5.456, 76.97, 92.4, 0.692, 20.323, 'Executing'
8.23, 5.599, 81.428, 92.4, 0.697, 16.547, 'Executing'
8.245, 5.738, 85.104, 92.4, 0.666, 12.057, 'Executing'
8.25, 5.803, 86.157, 92.4, 0.648, 9.068, 'Executing'
8.254, 5.867, 87.091, 92.4, 0.652, 8.583, 'Executing'
8.257, 5.928, 87.55, 92.4, 0.686, 7.629, 'Executing'
8.259, 5.994, 88.403, 92.4, 0.643, 8.494, 'Executing'
8.261, 6.116, 89.966, 92.4, 0.565, 6.681, 'Executing'
8.258, 6.164, 91.044, 92.4, 0.476, 3.778, 'Executing'
8.257, 6.209, 91.321, 92.4, 0.423, 1.574, 'Executing'
8.255, 6.282, 92.015, 92.4, 0.318, 5.555, 'Executing'
8.253, 6.307, 92.873, 92.4, 0.292, 6.539, 'Executing'
8.251, 6.339, 93.609, 92.4, 0.372, 5.707, 'Executing'
8.249, 6.379, 93.157, 92.4, 0.406, -2.471, 'Executing'
8.247, 6.419, 92.996, 92.4, 0.383, -0.526, 'Executing'
8.243, 6.5, 92.498, 92.4, 0.439, -4.989, 'Executing'
8.235, 6.541, 92.166, 92.4, 0.452, -5.248, 'Executing'
8.233, 6.585, 91.75, 92.4, 0.411, -4.034, 'Executing'
8.232, 6.62, 91.529, 92.4, 0.325, -1.03, 'Executing'
8.231, 6.666, 91.201, 92.4, 0.107, -1.945, 'Executing'
8.231, 6.671, 91.23, 92.4, 0.006, 0.525, 'Executing'
8.231, 6.672, 91.31, 92.4, 0.0, 1.205, 'Executing'
8.231, 6.674, 91.303, 92.4, 0.034, 1.261, 'Executing'
8.231, 6.679, 91.208, 92.4, 0.066, -0.531, 'Executing'
8.224, 6.705, 90.637, 92.4, 0.146, -3.417, 'Executing'
8.224, 6.721, 90.318, 92.4, 0.173, -3.417, 'Executing'
8.224, 6.74, 89.953, 92.4, 0.201, -3.784, 'Executing'
8.224, 6.786, 89.095, 92.4, 0.254, -3.441, 'Executing'
8.224, 6.813, 88.916, 92.4, 0.277, -4.993, 'Executing'
8.225, 6.842, 88.368, 92.4, 0.293, -5.944, 'Executing'
8.226, 6.874, 87.753, 92.4, 0.332, -6.787, 'Executing'
8.222, 6.902, 87.214, 92.4, 0.355, -7.24, 'Executing'
8.227, 6.978, 85.67, 92.4, 0.409, -8.692, 'Executing'
8.231, 7.021, 84.81, 92.4, 0.437, -9.198, 'Executing'
8.235, 7.066, 83.877, 92.4, 0.468, -9.526, 'Executing'
8.24, 7.115, 82.912, 92.4, 0.494, -8.522, 'Executing'
8.235, 7.161, 82.937, 92.4, 0.527, -10.594, 'Executing'
8.242, 7.214, 81.868, 92.4, 0.557, -11.344, 'Executing'
8.261, 7.327, 79.491, 92.4, 0.601, -12.632, 'Executing'
8.27, 7.391, 78.04, 92.4, 0.623, -13.428, 'Executing'
8.284, 7.453, 76.636, 92.4, 0.649, -14.908, 'Executing'
8.3, 7.517, 75.154, 92.4, 0.671, -15.281, 'Executing'
8.319, 7.585, 73.541, 92.4, 0.712, -16.572, 'Executing'
8.364, 7.722, 70.506, 92.3, 0.747, -17.621, 'Executing'
8.424, 7.866, 68.431, 92.3, 0.782, -18.198, 'Executing'
8.454, 7.938, 66.618, 92.3, 0.786, -18.918, 'Executing'
8.524, 8.075, 62.443, 92.3, 0.791, -20.741, 'Executing'
8.524, 8.075, 62.443, 92.3, 0.791, -20.741, 'Executing'
8.602, 8.212, 58.188, 92.3, 0.782, -21.602, 'Executing'
8.646, 8.28, 55.588, 92.3, 0.787, -22.16, 'Executing'
8.74, 8.406, 51.058, 92.3, 0.782, -23.125, 'Executing'
8.79, 8.466, 48.697, 92.3, 0.779, -23.902, 'Executing'
8.844, 8.525, 45.799, 92.3, 0.782, -22.316, 'Executing'
8.95, 8.633, 43.086, 92.3, 0.743, -24.777, 'Executing'
9.008, 8.67, 39.77, 92.3, 0.723, -26.275, 'Executing'
9.064, 8.715, 37.103, 92.3, 0.708, -26.356, 'Executing'
9.178, 8.793, 32.221, 92.3, 0.676, -21.322, 'Executing'
9.237, 8.822, 30.054, 92.3, 0.654, -17.02, 'Executing'
9.292, 8.853, 28.609, 92.3, 0.62, -12.007, 'Executing'
9.345, 8.881, 27.608, 92.3, 0.591, -7.901, 'Executing'
9.397, 8.908, 26.887, 92.4, 0.553, -6.173, 'Executing'
9.445, 8.937, 26.135, 92.4, 0.531, -5.859, 'Executing'
9.49, 8.96, 26.074, 92.4, 0.486, -6.845, 'Executing'
9.591, 9.007, 23.276, 92.4, 0.256, -10.497, 'Executing'
9.611, 9.015, 22.257, 92.4, 0.196, -10.473, 'Executing'
9.882, 9.095, 4.742, 92.4, 0.002, -12.839, 'Executing'
9.882, 9.095, 3.388, 92.4, 0.001, -15.498, 'Executing'
9.882, 9.095, 0.956, 92.4, -0.002, -24.718, 'Executing'
9.882, 9.095, -1.68, 92.4, -0.002, -28.886, 'Executing'
9.89, 9.102, -8.634, 92.4, -0.001, -34.166, 'Executing'
9.89, 9.102, -12.017, 92.4, 0.001, -32.216, 'Executing'
9.876, 9.097, -19.329, 92.4, 0.0, -36.544, 'Executing'
9.876, 9.097, -22.811, 92.4, -0.002, -34.74, 'Executing'
9.876, 9.097, -26.266, 92.3, 0.001, -34.931, 'Executing'
9.876, 9.097, -30.037, 92.3, 0.001, -33.958, 'Executing'
9.863, 9.1, -37.878, 92.3, -0.001, -34.238, 'Executing'
9.863, 9.1, -41.309, 92.3, -0.002, -34.36, 'Executing'
9.863, 9.1, -44.767, 92.3, 0.001, -35.019, 'Executing'
9.861, 9.09, -48.851, 92.3, -0.005, -33.917, 'Executing'
9.861, 9.09, -52.289, 92.3, 0.0, -34.724, 'Executing'
9.861, 9.09, -55.758, 92.3, 0.002, -34.819, 'Executing'
9.872, 9.091, -63.474, 92.3, -0.001, -34.18, 'Executing'
9.872, 9.091, -64.239, 92.3, -0.002, -34.147, 'Executing'
9.872, 9.091, -67.696, 92.3, 0.002, -34.783, 'Executing'
9.872, 9.091, -71.181, 92.3, 0.001, -35.028, 'Executing'
9.875, 9.088, -78.433, 92.3, -0.002, -34.299, 'Executing'
9.875, 9.088, -81.785, 92.3, 0.0, -32.304, 'Executing'
